topic_id,phi_sum,theta_sum,h,top_terms_rel,top_terms,label
0,23928.291486783986,61.719680603377675,8.37,endless ago lies souls earth stands gold grand,its yet these though those world nor man,0: endless ago lies souls earth stands gold grand
1,12518.738608707172,31.199285377130902,7.93,woman wife lady corner old houses children country,old her she little house man very young,1: woman wife lady corner old houses children country
2,28249.113353279583,58.63482373523394,8.63,navy frigate officers wars gun jack war officer,man men war captain deck officers you these,2: navy frigate officers wars gun jack war officer
3,13863.165507802512,36.91567762460999,7.44,babbalanja media lord mardi beard ay cried evil,said we babbalanja my lord you media your,3: babbalanja media lord mardi beard ay cried evil
4,14408.127529786048,37.20054168127926,7.44,thee thou thy art brother oh nay feel,me thou thee my thy oh will ye,4: thee thou thy art brother oh nay feel
5,17401.926441843967,44.95993971740691,8.12,deal mate rope forecastle concluded indian chest cases,most such good very many being could much,5: deal mate rope forecastle concluded indian chest cases
6,7932.742754980515,24.477014817418272,7.24,sails calm ocean waves breeze yard aloft sky,sea we our sail us how ocean every,6: sails calm ocean waves breeze yard aloft sky
7,26668.15278093704,48.20333631315449,8.82,valley natives islanders fruit islands singular savage tree,these valley natives its about other most after,7: valley natives islanders fruit islands singular savage tree
8,10693.046281939365,25.04232439635914,6.48,myself expression fate my me entered silence gazed,my me myself before again still last moment,8: myself expression fate my me entered silence gazed
9,26144.656185510874,44.317225733323774,8.38,bed sleep sitting room glass sit door got,my me very you thought about could little,9: bed sleep sitting room glass sit door got
10,19280.512432856984,40.70500772316278,8.42,vessel craft aboard vessels anchor stern sailing overboard,her ship captain sea boat ships she we,10: vessel craft aboard vessels anchor stern sailing overboard
11,15415.286572672472,36.08356992463775,8.21,sperm whales whale fish whaling coast chapter seas,whale whales sperm fish you has these great,11: sperm whales whale fish whaling coast chapter seas
12,29769.7181292895,50.04817865885891,7.96,sir cant dont hes mr gentlemen wont thats,you said sir me my your man here,12: sir cant dont hes mr gentlemen wont thats
13,11455.357324785167,37.96508164856508,7.69,golden wall leaves green gained noon spring trees,its you long through round where here green,13: golden wall leaves green gained noon spring trees
14,11293.718181066273,39.984287648324376,8.57,kings king isle royal mardi behold visit island,king old these kings very many media mardi,14: kings king isle royal mardi behold visit island
15,36012.67882014364,71.39246658274844,8.4,honest nature dear friends yourself sense respect knowledge,you man your if will me do my,15: honest nature dear friends yourself sense respect knowledge
16,22462.07206209154,55.17278335970485,8.0,pierre mother girl herself she her entirely possibly,pierre her she any mother own very most,16: pierre mother girl herself she her entirely possibly
17,22000.622244257545,44.586644967547336,8.58,aye cry boats instant iron shot boat suspended,boat seemed still ye its head down man,17: aye cry boats instant iron shot boat suspended
18,19822.752995843366,47.43213779043167,7.73,ourselves us we our ghost doctor canoe exclaimed,we our us after long could doctor side,18: ourselves us we our ghost doctor canoe exclaimed
19,5074.3203053410425,13.95999169672453,7.35,cabin hair table dinner used seated mr finding,captain cabin little about though himself deck any,19: cabin hair table dinner used seated mr finding
